"Product/ID,""product_id"",""location_id"",""qty"""
"__export__.product_product_208307_df058afc,""208307"","""",""0.0"""
"__export__.product_product_202375_ded9d56e,""202375"","""",""0.0"""
"__export__.product_product_208305_e8cccfae,""208305"","""",""0.0"""
"__export__.product_product_210878_576f436e,""210878"","""",""0.0"""
"__export__.product_product_210880_6856a6ed,""210880"","""",""0.0"""
"__export__.product_product_210879_9b1a7dab,""210879"","""",""0.0"""
"__export__.product_product_210876_2571dd8e,""210876"","""",""0.0"""
"__export__.product_product_210877_8119555a,""210877"","""",""0.0"""
"__export__.product_product_210875_0132a241,""210875"","""",""0.0"""
"__export__.product_product_213059_2ff05efc,""213059"","""",""0.0"""
"__export__.product_product_213056_3ab31ed5,""213056"","""",""0.0"""
"__export__.product_product_213060_e9e4718b,""213060"","""",""0.0"""
"__export__.product_product_213057_c697f84e,""213057"","""",""0.0"""
"__export__.product_product_213058_3f6203c8,""213058"","""",""0.0"""
"__export__.product_product_213062_a5ca882f,""213062"","""",""0.0"""
"__export__.product_product_231899_35f7e97a,""231899"","""",""0.0"""
"__export__.product_product_213065_7d2312d8,""213065"","""",""0.0"""
"__export__.product_product_213063_af3b7270,""213063"","""",""0.0"""
"__export__.product_product_213061_b57028ab,""213061"","""",""0.0"""
"__export__.product_product_213064_b4f91c90,""213064"","""",""0.0"""
"__export__.product_product_213066_ae5287b4,""213066"","""",""0.0"""
"__export__.product_product_222378_c0840807,""222378"","""",""0.0"""
"__export__.product_product_232875_37124137,""232875"","""",""0.0"""
"__export__.product_product_232876_54b05dbb,""232876"","""",""0.0"""
"__export__.product_product_228042_3f3da032,""228042"","""",""0.0"""
"__export__.product_product_221110_f3c3ef72,""221110"","""",""0.0"""
"__export__.product_product_110275_9f10ba99,""110275"","""",""3.0"""
